(index -> (radius,density,mass within (shells),gravitational acceleration (shells),density slope,mass within (linear),gravitational acceleration (linear)
"radius[unit=""m""]","density[unit=""kg/m^3""]",mass[unit=”kg”],acceleration[unit=”m/s^2”],slope[unit=””],mass[unit=”kg”],acceleration[unit=”m/s^2”]
1401153,12068.57,1.45576215263812E+023,-4.94908628868285,-0.000573566084788075,1.4554288782999E+023,-4.94795327155182
1413986,12061.15,1.49432211273391E+023,-4.98838227948513,-0.000578196836281468,1.49397694865176E+023,-4.98723004438384
1426818,12053.67,1.53356115851341E+023,-5.02770358018946,-0.000582917705735627,1.5332037902918E+023,-5.02653196634333
1439651,12046.14,1.57349074058211E+023,-5.06705325485268,-0.000586768487493233,1.57312086301135E+023,-5.06586215197519
1452483,12038.54,1.61410998137197E+023,-5.10642233095031,-0.000592269326683178,1.61372725240862E+023,-5.10521152391256
1465315,12030.88,1.65542721997376E+023,-5.14581092731768,-0.000596945137157238,1.65503130760294E+023,-5.14458025394261
1478148,12023.16,1.69745102527434E+023,-5.1852193896367,-0.000601574066858828,1.6970415907536E+023,-5.18396868620898
1490980,12015.38,1.7401800908252E+023,-5.22463894728605,-0.000606296758104789,1.73975679181589E+023,-5.22336805325497
1503812,12007.54,1.78362288198118E+023,-5.26407013384108,-0.000610972568578423,1.78318536933979E+023,-5.26277888710276
1516645,11999.64,1.8277880652544E+023,-5.30351358344278,-0.000615600405205443,1.82733598288422E+023,-5.30220182031408
1529477,11991.68,1.87267392996066E+023,-5.34296079152173,-0.000620324189526117,1.87220691818896E+023,-5.34162835155691
1542310,11983.66,1.91829262108909E+023,-5.3824156304181,-0.000624951297436331,1.91781031200831E+023,-5.38106234995059
1555142,11975.57,1.9646421534688E+023,-5.4218697529802,-0.000630455112219463,1.96414415622131E+023,-5.42049541811292
1567974,11967.42,2.01173111269688E+023,-5.46132399923476,-0.000635130922693239,2.01121704831325E+023,-5.45992844883651
1580807,11959.21,2.05956833089482E+023,-5.50077939471404,-0.000639756876802069,2.05903781306292E+023,-5.49936246597492
1593639,11950.94,2.10815140245093E+023,-5.540227804653,-0.00064448254364079,2.10760404133509E+023,-5.53878933810377
1606472,11942.6,2.15749292497286E+023,-5.57967345525075,-0.000649887010052221,2.15692830126352E+023,-5.57821323450715
1619304,11934.2,2.20759016655362E+023,-5.61910823063073,-0.000654613466334136,2.20700787781247E+023,-5.61762609707735
1632136,11925.73,2.25845191417516E+023,-5.65853339930442,-0.000660068578553707,2.25785152902011E+023,-5.65702913904943
1644969,11917.2,2.31008712715973E+023,-5.69795018200702,-0.000664692589417816,2.30946822748977E+023,-5.69642363374585
1657801,11908.61,2.36249267905833E+023,-5.7373507425312,-0.000669420199501258,2.36185484332637E+023,-5.73580174839344
1670634,11899.95,2.41568163332651E+023,-5.77673957856287,-0.00067482272266811,2.41502440824953E+023,-5.77516792356422
1683466,11891.23,2.46965052413586E+023,-5.81610884907414,-0.000679551122194604,2.46897347506742E+023,-5.81451437607494
1696298,11882.44,2.52440830521473E+023,-5.85546007210992,-0.000685006234413891,2.52371096643775E+023,-5.8538425685718
1709131,11873.59,2.57996410612559E+023,-5.89479470399759,-0.000689628302033847,2.57924602648925E+023,-5.89315400983937
1721963,11864.67,2.63631405543099E+023,-5.9341051525556,-0.000695137157107238,2.63557475665342E+023,-5.93244105768941
1734795,11855.68,2.69346716115396E+023,-5.97339295093679,-0.000700592269326666,2.69270615600085E+023,-5.97170524414654
1747628,11846.63,2.751432655828E+023,-6.01265967211707,-0.000705213122418849,2.75064947242424E+023,-6.01094819455004
1760460,11837.52,2.81020620850211E+023,-6.05189785118266,-0.000709943890274218,2.80940037170546E+023,-6.05016244758014
1773293,11828.33,2.86980165560043E+023,-6.09111229302801,-0.000716122496688265,2.86897262948247E+023,-6.08935269714496
1786125,11819.08,2.93021425493196E+023,-6.13029539475652,-0.000720854114713217,2.92936155008709E+023,-6.12851145265236
1798957,11809.76,2.99145323340264E+023,-6.16944896643503,-0.000726309226932646,2.99057632577795E+023,-6.16764046855234
1811790,11800.38,3.05352799862465E+023,-6.20857474000362,-0.000730928076054003,3.05262638089126E+023,-6.20674152901386
1824622,11790.92,3.11643343560646E+023,-6.24766543533959,-0.000737219451371503,3.11550654388327E+023,-6.24580725049433
1837455,11781.4,3.18018377200079E+023,-6.28672577655889,-0.000741837450323419,3.17923108411232E+023,-6.28484246165169
